Competency ,Question,Question_zh
Project Management,Tell me about a time when you influenced the outcome of a project by taking a leadership role.,跟我說說你通過擔任領導角色來影響項目結果的經歷。
Project Management,What was the last project you led? What was the outcome?,你領導的最後一個項目是什麼？結果如何？
Project Management,"Using a specific example of a project, tell how you kept those involved informed of the progress.",使用一個專案的具體示例，說明您如何讓相關人員了解進度。
Setting Goals,What company or departmental goals have you developed in your past roles? Which ones have you reached? How did you reach them? Which have you missed? Why did you miss them?,您在過去的職位中制定了哪些公司或部門目標？你接觸了哪些人？你是怎麼接觸到他們的？你錯過了哪些？你為什麼想念他們？
Setting Goals,What were your annual performance goals at your most current employer? How did you develop these goals?,您在當前雇主的年度績效目標是什麼？你是如何制定這些目標的？
Sound Judgment,Describe a situation when you had to exercise a significant amount of self-control.,描述一種情況，當你不得不進行大量的自我控制時。
Sound Judgment,When have you had to produce results without sufficient guidelines? Give an example,您什麼時候不得不在沒有足夠指南的情況下產生結果？舉個例子
Strategic Planning,Describe what steps you have followed or methods you have used to define a vision for your unit or position.,描述您遵循了哪些步驟或使用了哪些方法來定義您的單位或職位的願景。
Strategic Planning,How do you see your job relating to the overall goals of the organization?,你如何看待你的工作與組織的總體目標的關係？
Strategic Planning,"In your current or former position, what were your long and short-term goals?",在您現在或以前的職位上，您的長期和短期目標是什麼？
Strategic Planning,Tell us about a time when you anticipated the future and made changes to current responsibilities and operations to meet future needs.,告訴我們您預見到未來並改變當前職責和運營以滿足未來需求的經歷。
Stress Management,How do you react when faced with constant time pressure? Give an example.,當面對持續的時間壓力時，你如何反應？舉個例子。
Stress Management,People react differently when job demands are constantly changing. How do you generally react?,當工作需求不斷變化時，人們會有不同的反應。你通常如何反應？
Stress Management,What kind of events cause you stress on the job?,什麼樣的事件會讓你在工作中感到壓力？
Stress Management,What was the most stressful situation you have faced? How did you deal with it?,你遇到過的最緊張的情況是什麼？你是如何處理的？
Teamwork,Describe a situation in which you had to arrive at a compromise or help others to compromise. What was your role? What steps did you take? What was the end result?,描述一種情況，在這種情況下，您不得不達成妥協或説明他人妥協。你的角色是什麼？你採取了什麼步驟？最終的結果是什麼？
Teamwork,Describe a team experience you found disappointing. What would you have done to prevent this?,描述您感到失望的團隊體驗。你會做些什麼來防止這種情況發生？
Teamwork,Describe the types of teams you've been involved with. What were your roles?,描述您參與過的團隊類型。你的角色是什麼？
Teamwork,Describe your leadership style and give an example of a situation when you successfully led a group.,描述你的領導風格，並舉一個例子，當你成功地領導一個團隊時。
Teamwork,Give an example of how you have been successful at empowering a group of people in accomplishing a task.,舉個例子，說明你是如何成功地授權一群人完成一項任務的。
Teamwork,Give an example of how you worked effectively with people to accomplish an important result.,舉個例子，說明你是如何有效地與人合作以取得重要成果的。
Teamwork,Have you ever been a project leader? Give examples of problems you experienced and how you reacted.,你曾經是項目負責人嗎？舉例說明您遇到的問題以及您是如何做出反應的。
Teamwork,Have you ever been in a position where you had to lead a group of peers? How did you handle it?,你是否曾經處於不得不領導一群同齡人的位置？你是如何處理的？
Teamwork,Have you ever participated in a taskforce? What was your role? How did you contribute?,你有沒有參加過工作組？你的角色是什麼？你是如何做出貢獻的？
Teamwork,Tell us about a time when you had to work on a team that did not get along. What happened? What role did you take? What was the result?,告訴我們你不得不在一個相處不融洽的團隊中工作的經歷。發生了什麼事？你扮演了什麼角色？結果如何？
Teamwork,Tell us about the most difficult challenge you faced in trying to work cooperatively with someone who did not share the same ideas? What was your role in achieving the work objective?,告訴我們，在與一個想法不相同的人合作時，你面臨的最困難的挑戰是什麼？您在實現工作目標方面發揮了什麼作用？
Teamwork,"Tell us about the most difficult situation you have had when leading a team. What happened and what did you do? Was it successful? Emphasize the ""single"" most important thing you did.",告訴我們你在領導團隊時遇到過的最困難的情況。發生了什麼，你做了什麼？成功了嗎？強調你做的“單一”的最重要的事情。
Teamwork,Tell us about the most effective contribution you have made as part of a task group or special project team.,告訴我們您作為工作組或特殊項目團隊的一員所做的最有效的貢獻。
Teamwork,Think about the times you have been a team leader. What could you have done to be more effective?,想想你擔任團隊領導的時光。你能做些什麼來更有效？
Teamwork,"What is the difficult part of being a member, not leader, of a team? How do you handle this?",成為團隊的一員，而不是領導者，最困難的部分是什麼？你是如何處理這個問題的？
Teamwork,What role have you typically played as a member of a team? How did you interact with other members?,作為團隊的一員，您通常扮演什麼角色？你是如何與其他成員互動的？
Teamwork,When working on a team project have you ever had an experience where there was strong disagreement among team members? What did you do?,在做一個團隊專案時，你有沒有經歷過團隊成員之間存在強烈分歧的經歷？你做了什麼？
Time Management,Describe a situation that required you to do a number of things at the same time. How did you handle it? What was the result?,描述一種情況，該情況要求您同時做許多事情。你是如何處理的？結果如何？
Time Management,How do you determine priorities in scheduling your time? Give an example.,你如何確定安排時間的優先順序？舉個例子。
Time Management,How do you typically plan your day to manage your time effectively?,你通常如何計劃你的一天來有效地管理你的時間？
Time Management,"Of your current assignments, which do you consider to have required the greatest amount of effort with regard to planning and organization? How have you accomplished this assignment? How would you assess your effectiveness?",在您目前的任務中，您認為在計劃和組織方面需要付出最大的努力嗎？你是如何完成這項任務的？你如何評估你的有效性？
Time Management,"Describe how you would handle a situation if you were required to finish multiple tasks by the end of the day, and there was no conceivable way that you could finish them.",描述一下，如果您被要求在一天結束時完成多項任務，並且沒有可以想像的方法來完成它們，您將如何處理這種情況。
Initiative,Describe the most significant or creative presentation/idea that you developed/implemented. ,描述您開發/實施的最重要或最具創意的演示文稿/想法。
Initiative,Describe a time when you came up with a creative solution/idea/project/report to a problem in your past work. ,描述一下你在過去工作中對一個問題提出了一個創造性的解決方案/想法/專案/報告的經歷。
Initiative,Tell me about a time when you created a new process or program that was considered risky. What was the situation and what did you do? ,請告訴我您創建了一個被認為有風險的新流程或程序的經歷。當時是什麼情況，你做了什麼？
Initiative,Can you give me an example of how you have been creative in completing your responsibilities? ,您能舉個例子說明您是如何創造性地完成職責的嗎？
Innovation,Can you think of a situation where innovation was required at work? What did you do in this situation? ,你能想到在工作中需要創新的情況嗎？在這種情況下，你做了什麼？
Initiative,Tell me about a suggestion you made to improve the way job processes/operations worked. What was the result? ,告訴我您為改進工作流程/運營方式提出的建議。結果如何？
Initiative,Tell me about one of your workplace improvements that another department now uses. ,請談談您的工作場所改進措施之一，另一個部門現在正在使用。
Initiative,Give me an example when you initiated a change in process or operations. ,舉個例子，當你開始對流程或操作進行更改時。
Initiative,"In your last job, what problems did you identify that had previously been overlooked? Were changes made? Who supported the changes as a result of your ideas? ",在你的上一份工作中，你發現了哪些以前被忽視的問題？是否進行了更改？誰支援了你的想法帶來的改變？
Initiative,Describe something you have implemented at work. What were the steps you used to implement this? ,描述你在工作中實施的事情。你用了什麼步驟來實現這一點？
Initiative,Give me an example of a time when there was a decision to be made and procedures were not in place? What was the outcome? ,請舉個例子，說明在需要做出決定但程序沒有到位的時候？結果如何？
Initiative,Tell me about a time when you were asked to complete a difficult assignment even though the odds were against you. What did you learn from that experience? ,告訴我有一次，你被要求完成一項艱巨的任務，儘管可能性對你不利。你從那次經歷中學到了什麼？
Project Management,Describe a long-term project that you managed. How did you keep everything moving along in a timely manner?,描述您管理的一個長期專案。您是如何及時確保一切順利進行的？
Initiative,Give me an example of a time you were able to be creative with your work. What was exciting or difficult about it?,給我舉個例子，說明你曾經在作品中發揮創造力。它有什麼令人興奮或困難的地方？
Leadership,What has been your greatest leadership achievement in a professional environment? Talk through the steps you took to reach it.,在專業環境中，您最大的領導成就是什麼？談談你為達到這個目標而採取的步驟。
Leadership,"As a leader within an organization, you must often build support for goals and projects from people who do not report to you and over whom you have no authority. Tell me about a situation in which you demonstrated that you can build the needed support.",作為組織內的領導者，你必須經常從那些不向你報告並且你沒有權力管理的人那裡建立對目標和項目的支援。告訴我一個情況，在這個情況下，你證明瞭你可以建立所需的支援。
Leadership,What are the three most important values you demonstrate as a leader? Tell me a story that demonstrates each of these leadership values in practice within your workplace.,作為領導者，你所展示的三個最重要的價值觀是什麼？告訴我一個故事，展示這些領導力價值觀在你的工作場所中的實踐中的每一個。
Client Relations/Customer Service,Give me a specific example of a time when you had to address an angry customer. What was the problem and what was the outcome? How would you assess your role in defusing the situation? ,給我舉一個具體的例子，說明你不得不向一個憤怒的客戶講話的時候。問題出在哪裡，結果是什麼？您如何評估自己在化解局勢方面的作用？
Client Relations/Customer Service,Give me an example of when you initiated a change in process or operations in response to customer feedback. ,請舉例說明您何時根據客戶反饋啟動了流程或運營變更。
Analytical Thinking,Give me a specific example of a time when you used good judgment and logic in solving a problem. ,給我舉一個具體的例子，說明你在解決問題時使用了良好的判斷力和邏輯性。
Problem-solving,How do you go about solving problems at work?,你如何解決工作中的問題？
Problem-solving,Tell me about a specific time when you eliminated or avoided a potential problem before it happened. ,告訴我您在潛在問題發生之前消除或避免潛在問題的具體時間。
Problem-solving,What types of problems do you most enjoy tackling? Give me some examples of such problems you faced. What did you enjoy about them? ,你最喜歡處理什麼類型的問題？給我舉一些你面臨的此類問題的例子。你喜歡他們的什麼地方？
Problem-solving,What types of problems do you least enjoy tackling? Give me some examples of such problems you faced. What was it about the problems that you least enjoyed? ,你最不喜歡解決什麼類型的問題？給我舉一些你面臨的此類問題的例子。你最不喜歡的問題是什麼？
Problem-solving,To whom did you turn for help the last time you had a major problem and why did you choose that person? ,上次你遇到重大問題時，你向誰尋求説明，你為什麼選擇那個人？
Attention to Detail,In some aspects of work it is important to be free of error. Can you describe a situation where you have tried to prevent errors? What did you do? What was the outcome? ,在工作的某些方面，沒有錯誤是很重要的。您能描述一下您試圖防止錯誤的情況嗎？你做了什麼？結果如何？
Setting Goals,"Give me an example of an important goal that you had set in the past, and tell me about your success in reaching it. ",請舉例說明你過去設定的一個重要目標，並告訴我你成功實現這個目標的情況。
Project Management,What projects were accomplished during your previous job? How were these accomplished? What experiences did you have when meeting deadlines for project completion? Explain.  ,在您之前的工作中完成了哪些專案？這些是如何實現的？在按時完成專案時，您有哪些經驗？解釋。 
Multitasking,"Are you better at working on many things at a time, or are you better at working on and getting results on a few specific things? Please give me two examples that illustrate this. ",你是更擅長一次做很多事情，還是更擅長在一些特定的事情上工作並取得成果？請舉兩個例子來說明這一點。
Personal Effectiveness/Self-Assessment,What do you consider your greatest accomplishments in your current/previous position? ,你認為在你現在/以前的職位上你最大的成就是什麼？
Conflict Resolution,Give me an example of when you ‘went to the source’ to address a conflict. Do you feel trust levels were improved as a result?,給我舉個例子，說明你什麼時候“去源頭”解決衝突。你覺得信任水準因此得到了提高嗎？
Introducing Change,"Describe a time when your team or company was undergoing some change. How did that impact you, and how did you adapt?",描述一下您的團隊或公司正在經歷一些變化的時間。這對你有什麼影響，你是如何適應的？
Interpersonal Skills,Please give me your best example of working cooperatively as a team member to accomplish an important goal. What was the goal or objective? What was your role in achieving this objective? To what extent did you interact with others on this project? ,請給我一個你作為團隊成員合作完成一個重要目標的最佳例子。目標或目標是什麼？您在實現這一目標方面發揮了什麼作用？在這個專案中，你與其他人的互動程度如何？
Interpersonal Skills,Describe a project you were responsible for that required a lot of interaction with people over a long period of time. ,描述你負責的一個專案，這個專案需要在很長一段時間內與人們進行大量的互動。
Interpersonal Skills,"Tell me about a course, work experience, or extracurricular activity where you had to work closely with others. How did it go? How did you overcome any difficulties? ",告訴我您必須與他人密切合作的課程、工作經驗或課外活動。進展如何？你是如何克服任何困難的？
Integrity,Give me examples of how your have acted with integrity (walked your talk) in your job/work relationship. ,舉例說明您在工作/工作關係中如何誠信行事（言出必行）。
Conflict Resolution,Can you explain a time when you had a conflict with a co-worker and how you overcame that conflict?,您能解釋一下您與同事發生衝突的經歷以及您是如何克服這種衝突的嗎？
Motivating Others,How have you recognized and rewarded a team player in the past? What was the situation? ,你過去是如何認可和獎勵一個團隊合作者的？當時是什麼情況？
Motivating Others,Setting high expectations implies you believe the employee can deliver. Give me an example of having done this. ,設定高期望意味著您相信員工可以交付。給我舉個例子來說明我這樣做的情況。
Motivating Others,Give me an example of how you and your staff have celebrated success in the past. What was the occasion? ,請舉個例子，說明您和您的員工過去是如何慶祝成功的。當時是什麼場合？
Motivating Others,Tell me about a time when you were able to provide a co-worker/employee with recognition for the work they performed. What did you do? ,告訴我你曾經為同事/員工所從事的工作提供認可的經歷。你做了什麼？
Motivating Others,What consistent methods do you use to ensure that staff feels valued for their contributions?,您使用哪些一致的方法來確保員工感到自己的貢獻受到重視？
Motivating Others,"Tell me about a time when you created a new process or program that was considered risky. (What was the situation, what did you do and how were you able to persuade others it was ultimately a good idea?).",請告訴我您創建了一個被認為有風險的新流程或程序的經歷。（當時是什麼情況，你做了什麼，你是如何說服別人這最終是一個好主意？
Communication,Keeping others informed of your progress/actions helps them feel comfortable. Tell me your methods for keeping your supervisor advised of the status on projects. ,讓其他人瞭解您的進度/行動有助於他們感到舒適。告訴我你如何讓你的主管了解項目的狀態。
Interpersonal Skills,Trust requires personal accountability. Can you tell me about a time when you chose to trust someone? What was the outcome? ,信任需要個人責任感。你能告訴我你選擇信任某人的經歷嗎？結果如何？
Adaptability ,"By providing examples, demonstrate that you can adapt to a wide variety of people, situations and/or environments. ",通過提供示例，證明您可以適應各種各樣的人、情況和/或環境。
Adaptability ,What do you do when priorities change quickly? Give me one example of when this happened. ,當優先事項迅速變化時，您會怎麼做？給我舉一個例子來說明這是什麼時候發生的。
Adaptability ,Tell me about a specific time when you were given new information that affected a decision that you had already made. ,告訴我一個具體的時間，當你得到新的信息影響了你已經做出的決定時。
Innovation,Describe the most significant or creative presentation/idea that you developed/implemented. ,描述您開發/實施的最重要或最具創意的演示文稿/想法。
Innovation,Describe a time when you came up with a creative solution/idea/project/report to a problem in your past work. ,描述一下你在過去工作中對一個問題提出了一個創造性的解決方案/想法/專案/報告的經歷。
Innovation,Can you give me an example of how you have been creative in completing your responsibilities? ,您能舉個例子說明您是如何創造性地完成職責的嗎？
Innovation,Can you give me an example of how you have been creative in completing your responsibilities? ,您能舉個例子說明您是如何創造性地完成職責的嗎？
Innovation,Tell me about one of your workplace improvements that another department now uses. ,請談談您的工作場所改進措施之一，另一個部門現在正在使用。
Innovation,Give me an example of a time you were able to be creative with your work. What was exciting or difficult about it?,給我舉個例子，說明你曾經在作品中發揮創造力。它有什麼令人興奮或困難的地方？
Decision Making,Tell me about a decision you made while under a lot of pressure. ,告訴我你在很大的壓力下做出的決定。
Decision Making,Describe a decision you made or a situation that you would have handled differently if you had to do it over again. ,描述你做出的一個決定，或者如果你不得不重新做一次，你會以不同的方式處理的情況。
Decision Making,Give me an example of a time when there was a decision to be made and procedures were not in place? What was the outcome? ,請舉個例子，說明在需要做出決定但程序沒有到位的時候？結果如何？
Leadership,What has been your greatest leadership achievement in a professional environment? Talk through the steps you took to reach it.,在專業環境中，您最大的領導成就是什麼？談談你為達到這個目標而採取的步驟。
Leadership,"As a leader within an organization, you must often build support for goals and projects from people who do not report to you and over whom you have no authority. Tell me about a situation in which you demonstrated that you can build the needed support.",作為組織內的領導者，你必須經常從那些不向你報告並且你沒有權力管理的人那裡建立對目標和項目的支援。告訴我一個情況，在這個情況下，你證明瞭你可以建立所需的支援。
Leadership,What are the three most important values you demonstrate as a leader? Tell me a story that demonstrates each of these leadership values in practice within your workplace.,作為領導者，你所展示的三個最重要的價值觀是什麼？告訴我一個故事，展示這些領導力價值觀在你的工作場所中的實踐中的每一個。
Employee Development,Tell me about a time when you needed to give feedback to an employee with emotional or sensitive problems. Was the outcome? ,告訴我有一次你需要向有情緒或敏感問題的員工提供反饋。結果呢？
Project Management,Describe a long-term project that you managed. How did you keep everything moving along in a timely manner?,描述您管理的一個長期專案。您是如何及時確保一切順利進行的？
Stress Management,What has been the most stressful situation you have ever found yourself in at work? How did you handle it?,你在工作中遇到過的最大壓力是什麼？你是如何處理的？
Career Development,What have you done to further your own professional development in the last 5 years?,在過去的 5 年裡，您為促進自己的專業發展做了哪些工作？
Career Development,I noticed on your resume that you attended _____________ training program. Please describe the training program. How have you applied what you learned to your current job?,我在你的簡歷上注意到你參加了_____________培訓計劃。請描述培訓計劃。你是如何將你學到的知識應用到你現在的工作中的？
Personal Effectiveness/Self-Assessment,What three adjectives would your co-workers describe you as?,你的同事會用哪三個形容詞來形容你？
Personal Effectiveness/Self-Assessment,What do you consider your greatest accomplishment(s) in your current/previous position? ,你認為在你現在/以前的職位上你最大的成就是什麼？
Personal Effectiveness/Self-Assessment,Discuss the highlights of your most recent educational experience. Did you accomplish any special achievements? What were your most difficult challenges? ,討論您最近教育經歷的亮點。你有沒有取得什麼特別的成就？你最困難的挑戰是什麼？
Personal Effectiveness/Self-Assessment,"When you have been made aware of, or have discovered for yourself, a problem in your work performance, what was your course of action? Can you give me an example? ",當你意識到或自己發現你的工作表現存在問題時，你的行動方案是什麼？你能給我舉個例子嗎？
Personal Effectiveness/Self-Assessment,Tell me about a time when your supervisor/co-workers gave you feedback about your work/actions. What did you learn about yourself? ,告訴我你的主管/同事有一次向你反饋你的工作/行為。你對自己有什麼瞭解？
Personal Effectiveness/Self-Assessment,Tell me about a job that you had which required you to learn new things. ,告訴我你做過的一份工作需要你學習新事物。
Personal Effectiveness/Self-Assessment,Tell me about a recent job or experience that you would describe as a real learning experience. What did you learn from the job or the experience? ,告訴我最近的工作或經歷，你會將其描述為真正的學習經歷。你從這份工作或經歷中學到了什麼？
Personal Effectiveness/Self-Assessment,Tell me about a time when your coworkers gave you feedback about your actions. How did you respond? What changes did you make? ,告訴我你的同事曾經向你反饋你的行為。你是怎麼回應的？您做了哪些變更？
Initiative,Give me an example when you initiated a change in process or operations. ,舉個例子，當你開始對流程或操作進行更改時。
Initiative,"In your last job, what problems did you identify that had previously been overlooked? Were changes made? Who supported the changes as a result of your ideas? ",在你的上一份工作中，你發現了哪些以前被忽視的問題？是否進行了更改？誰支援了你的想法帶來的改變？
Conflict Resolution,"Tell me about a time when you had to give the ""benefit of the doubt"" to a co-worker/supervisor. What was the outcome? ",告訴我有一次你不得不把“懷疑的好處”交給同事/主管。結果如何？
Conflict Resolution,"If you disagreed with something that your boss was doing or has asked you to do, how would you approach the situation?",如果你不同意你的老闆正在做或要求你做的事情，你會如何處理這種情況？
Conflict Resolution,Tell me about a time when you had to resolve a difference of opinion with a co-worker/customer/supervisor. How do you feel you showed respect? ,告訴我你不得不解決與同事/客戶/主管的意見分歧的經歷。你覺得你如何表現出尊重？
Conflict Resolution,"Describe the way you handled a specific problem involving others with differing values, ideas and beliefs in your current/previous job. ",描述您處理涉及您當前/以前工作中具有不同價值觀、想法和信仰的其他人的特定問題的方式。
Initiative,Tell me about a suggestion you made to improve the way job processes/operations worked. What was the result? ,告訴我您為改進工作流程/運營方式提出的建議。結果如何？
Innovation,Tell me about a time when you created a new process or program that was considered risky. What was the situation and what did you do? ,請告訴我您創建了一個被認為有風險的新流程或程序的經歷。當時是什麼情況，你做了什麼？
Initiative,Describe something you have implemented at work. What were the steps you used to implement this? ,描述你在工作中實施的事情。你用了什麼步驟來實現這一點？
Personal Effectiveness/Self-Assessment,Tell me about a time when you were asked to complete a difficult assignment even though the odds were against you. What did you learn from that experience? ,告訴我有一次，你被要求完成一項艱巨的任務，儘管可能性對你不利。你從那次經歷中學到了什麼？
